코드,원료명,공급사,단가,원산지,포장단위,분류,기능성,규격,비고
SRC21-0591,후코이단,(미지정),600000,중국,,일반식품,N,,
SRC21-0592,후코이단(혜원),(미지정),600000,국산,,일반식품,N,,
SRC21-0593,훅마늘분말(열풍건조),(미지정),66000,,20,일반식품,N,100%,
SRC21-0594,흑마늘추출분말,(미지정),30000,,20,일반식품,N,,
SRC21-0595,흰강낭콩추출분말,(미지정),15000,캐나다,60,일반식품,N,해찬솔푸드,
SRC21-0596,흰강낭콩추출분말,(미지정),45000,인도,25,일반식품,N,하이베이스,
SRC21-0597,히비스커스추출분말,(미지정),80000,독일,10,일반식품,N,,
SRC21-0598,히알루론산,(미지정),440000,미국,10,일반식품,N,(23/05/03)90%,
SRC21-0599,히알루론산,(미지정),370000,미국,10,일반식품,N,98%,
SRC21-0600,히알루론산,(미지정),275000,중국,1,일반식품,N,100%,
SRC21-0601,히알루론산혼합제제,(미지정),140000,,,일반식품,N,10%(히알루론산)+90%덱스트린,
SRC21-0602,흰점박이꽃무지(굼뱅이)건조 분말,(미지정),250000,국산,5,일반식품,N,서호상사(열풍건조/소환용),
SRC21-0603,흰점박이꽃무지(굼뱅이)건조 분말,(미지정),450000,국산,,일반식품,N,서호상사(동결건조/분말용),
SRC21-0609,L-아스파라긴분말,(미지정),53000,중국,10,일반식품,N,,
SRC21-0610,L-이소로이신,(미지정),21000,중국,25,일반식품,N,태성,
SRC21-0612,L-티로신,(미지정),37000,,,일반식품,N,,
SRC21-0614,WPH,(미지정),23000,,,일반식품,N,하이베이스,
SRC21-0619,분리대두단백질,(미지정),9000,미국,20,일반식품,N,,
SRC21-0620,분리대두단백질,(미지정),6300,인도,20,일반식품,N,담원인터네셔날,
SRC21-0621,분리대두단백질,(미지정),7500,싱가포르,20,일반식품,N,담원인터네셔날,
SRC21-0622,분리우유단백질,(미지정),14500,덴마크,25,일반식품,N,,
SRC21-0623,분리유단백질(MPI),(미지정),22000,프랑스,20,일반식품,N,담원인터네셔날,
SRC21-0624,산양유농축단백질,(미지정),30000,,15,일반식품,N,,
SRC21-0625,산양유단백분말,(미지정),38000,네덜란드,15,일반식품,N,담원인터네셔날,
SRC21-0626,유청농축단백질(WPC),(미지정),17000,미국,20,일반식품,N,,
SRC21-0627,유청분리단백질(WPI),(미지정),27000,미국,,일반식품,N,일반,
SRC21-0628,유청분리단백질(WPI),(미지정),29000,네덜란드,,일반식품,N,자연방복인증,
SRC21-0629,가수분해유청단백(WPH),(미지정),23000,미국,,일반식품,N,하이베이스,
SRC21-0630,초유단백분말,(미지정),9000,네덜란드,20,일반식품,N,,
SRC21-0631,카르니틴(L),원아,37000,중국,25,일반식품,N,,부가세별도
SRC21-0636,히스티딘,(미지정),110000,중국,25,일반식품,N,,
SRC21-0639,가시오가피추출분말,(미지정),30000,국산,20,일반식품,N,고형분20%,
SRC21-0640,가자추출물,(미지정),980000,호주,1,일반식품,N,하이베이스,
SRC21-0641,갈근농축액,(미지정),30000,,,일반식품,N,,
SRC21-0642,갈근분말,(미지정),14000,중국,10,일반식품,N,바이오케어,
SRC21-0643,갈근분말,(미지정),12000,중국,,일반식품,N,엘본에이치앤비,
SRC21-0644,감초분말,(미지정),14000,,,일반식품,N,,
SRC21-0645,감초분말,(미지정),15000,우즈베키스탄,20,일반식품,N,,
SRC21-0646,건강추출물,(미지정),30000,중국,,일반식품,N,,
SRC21-0647,검은콩분말,(미지정),26000,,40,일반식품,N,,
SRC21-0648,결명자분말,(미지정),10500,중국,,일반식품,N,엘본에이치앤비,
SRC21-0649,결명자분말,(미지정),12000,인도,,일반식품,N,바이오케어,
SRC21-0650,계피추출분말,(미지정),26000,베트남,20,일반식품,N,하이베이스(고형분20%),
SRC21-0651,계피추출분말,(미지정),16000,베트남,20,일반식품,N,하이베이스(고형분2%),
SRC21-0652,계피추출분말,(미지정),15500,,,일반식품,N,해찬솔푸드,
SRC21-0653,곽향추출분말,(미지정),35000,중국,100,일반식품,N,하이베이스,
