미상원료,기존단가,기존원산지,추정공급사,신뢰도,단서종류,근거품목,근거출처,카탈로그원산지
복분자농축애(65브릭스),40000,국산,하이베이스,보통,거래처 카탈로그,복분자,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
복분자농축액,25000,중국,하이베이스,보통,거래처 카탈로그,복분자,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
복분자농축액(20브릭스),65000,국산,하이베이스,보통,거래처 카탈로그,복분자,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
복숭아농축액,9500,이스라엘,하이베이스,보통,거래처 카탈로그,복숭아,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
빌베리추출물,77000,폴란드,하이베이스,보통,거래처 카탈로그,빌베리,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
빌베리추출물,950000,인도,하이베이스,보통,거래처 카탈로그,빌베리,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
사인분말,23000,베트남,하이베이스,보통,거래처 카탈로그,사인,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
산약분말,24000,,하이베이스,보통,거래처 카탈로그,산약(마),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
산약분말,26000,중국,하이베이스,보통,거래처 카탈로그,산약(마),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
산약분말,27500,중국,하이베이스,보통,거래처 카탈로그,산약(마),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
정제소금,4000,,하이베이스,보통,거래처 카탈로그,소금(정제염),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
솔잎분말,20000,,하이베이스,보통,거래처 카탈로그,솔잎(송엽),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
야채혼합농축분말(20종),17000,,하이베이스,보통,거래처 카탈로그,야채혼합,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
야채혼합농축분말(27종야채),23000,,하이베이스,보통,거래처 카탈로그,야채혼합,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
여주분말,48000,국산,하이베이스,보통,거래처 카탈로그,여주(비터멜론),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
여주분말(유기농),40000,,하이베이스,보통,거래처 카탈로그,여주(비터멜론),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
오렌지농축액,11000,미국,하이베이스,보통,거래처 카탈로그,오렌지,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
우슬분말(쇠무릎),27500,,하이베이스,보통,거래처 카탈로그,우슬(두릅),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
울금분말,9000,,하이베이스,보통,거래처 카탈로그,"울금(심황,강황)",247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
울금분말,10500,인도네시아,하이베이스,보통,거래처 카탈로그,"울금(심황,강황)",247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
울금분말,13000,인도,하이베이스,보통,거래처 카탈로그,"울금(심황,강황)",247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균사균체(구강용),150000,,하이베이스,보통,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
항비만 유산균,700000,,하이베이스,보통,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
사케이(L.sakei Probik65) 유산균,1150000,,하이베이스,보통,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
율무분말,22000,,하이베이스,보통,거래처 카탈로그,율무,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
율무분말,29000,,하이베이스,보통,거래처 카탈로그,율무,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
이눌린치커리,8500,벨기에,하이베이스,보통,거래처 카탈로그,이눌린(치커리식이),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
천마분말(일반),58000,중국,하이베이스,보통,거래처 카탈로그,천마,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
초유분말,50000,미국,하이베이스,보통,거래처 카탈로그,초유,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
